Date,NumberOfTrips,PRCP,SNWD,SNOW,Temp,Holiday,Weekday
9/1/2014,8210,0,0,0,81.5,TRUE,TRUE
9/2/2014,2114,0,0,0,84.5,FALSE,TRUE
9/3/2014,6765,0,0,0,79,FALSE,TRUE
9/4/2014,8646,0,0,0,78,FALSE,TRUE
9/5/2014,7678,0,0,0,79.5,FALSE,TRUE
9/6/2014,9777,0.11,0,0,79,FALSE,FALSE
9/7/2014,9859,0,0,0,73,FALSE,FALSE
9/8/2014,599,0,0,0,70,FALSE,TRUE
9/9/2014,4756,0,0,0,68,FALSE,TRUE
9/10/2014,8445,0,0,0,71.5,FALSE,TRUE
9/11/2014,2502,0,0,0,76,FALSE,TRUE
9/12/2014,7387,0,0,0,70,FALSE,TRUE
9/13/2014,9987,0.26,0,0,63.5,FALSE,FALSE
9/14/2014,8839,0,0,0,62,FALSE,FALSE
9/15/2014,9269,0,0,0,63,FALSE,TRUE
9/16/2014,2008,0.37,0,0,64,FALSE,TRUE
9/17/2014,987,0,0,0,64,FALSE,TRUE
9/18/2014,1784,0,0,0,66.5,FALSE,TRUE
9/19/2014,2334,0,0,0,60,FALSE,TRUE
9/20/2014,1663,0,0,0,66,FALSE,FALSE
9/21/2014,6337,0.15,0,0,71,FALSE,FALSE
9/22/2014,9137,0,0,0,63,FALSE,TRUE
9/23/2014,2259,0,0,0,61.5,FALSE,TRUE
9/24/2014,2512,0,0,0,64.5,FALSE,TRUE
9/25/2014,8170,0.32,0,0,60.5,FALSE,TRUE
9/26/2014,2088,0,0,0,67.5,FALSE,TRUE
9/27/2014,3443,0,0,0,71.5,FALSE,FALSE
9/28/2014,5629,0,0,0,74,FALSE,FALSE
9/29/2014,6794,0,0,0,73,FALSE,TRUE
9/30/2014,9721,0,0,0,66.5,FALSE,TRUE
10/1/2014,7600,0.02,0,0,63,FALSE,TRUE
10/2/2014,430,0,0,0,65.5,FALSE,TRUE
10/3/2014,4505,0,0,0,63.5,FALSE,TRUE
10/4/2014,4843,1.18,0,0,60.5,FALSE,FALSE
10/5/2014,6566,0,0,0,53.5,FALSE,FALSE
10/6/2014,2942,0,0,0,59.5,FALSE,TRUE
10/7/2014,9831,0.06,0,0,67,FALSE,TRUE
10/8/2014,9452,0.04,0,0,67.5,FALSE,TRUE
10/9/2014,2399,0,0,0,61.5,FALSE,TRUE
10/10/2014,6973,0,0,0,58,FALSE,TRUE
10/11/2014,6119,0.33,0,0,55,FALSE,FALSE
10/12/2014,935,0,0,0,55.5,FALSE,FALSE
10/13/2014,8885,0.05,0,0,58.5,FALSE,TRUE
10/14/2014,9896,0,0,0,69.5,FALSE,TRUE
10/15/2014,3703,0.69,0,0,73,FALSE,TRUE
10/16/2014,9661,1.11,0,0,66,FALSE,TRUE
10/17/2014,9726,0,0,0,65,FALSE,TRUE
10/18/2014,4113,0,0,0,63,FALSE,FALSE
10/19/2014,6627,0,0,0,50,FALSE,FALSE
10/20/2014,4838,0,0,0,51,FALSE,TRUE
10/21/2014,8033,0.11,0,0,61,FALSE,TRUE
10/22/2014,5212,1.51,0,0,54,FALSE,TRUE
10/23/2014,982,0.61,0,0,51.5,FALSE,TRUE
10/24/2014,1857,0,0,0,57,FALSE,TRUE
10/25/2014,1437,0.01,0,0,58.5,FALSE,FALSE
10/26/2014,9669,0,0,0,58,FALSE,FALSE
10/27/2014,2816,0,0,0,55.5,FALSE,TRUE
10/28/2014,6323,0,0,0,62.5,FALSE,TRUE
10/29/2014,7330,0,0,0,61.5,FALSE,TRUE
10/30/2014,2363,0,0,0,53,FALSE,TRUE
10/31/2014,6356,0.05,0,0,50,FALSE,TRUE
11/1/2014,1553,0.35,0,0,44.5,FALSE,FALSE
11/2/2014,1450,0,0,0,44.5,FALSE,FALSE
11/3/2014,6984,0,0,0,50,FALSE,TRUE
11/4/2014,6925,0,0,0,60.5,FALSE,TRUE
11/5/2014,2108,0,0,0,60,FALSE,TRUE
11/6/2014,7834,0.37,0,0,52.5,FALSE,TRUE
11/7/2014,3708,0,0,0,46.5,FALSE,TRUE
11/8/2014,4465,0,0,0,42,FALSE,FALSE
11/9/2014,5756,0,0,0,51.5,FALSE,FALSE
11/10/2014,5413,0,0,0,52.5,FALSE,TRUE
11/11/2014,6486,0,0,0,56.5,FALSE,TRUE
11/12/2014,2447,0,0,0,56,FALSE,TRUE
11/13/2014,668,0.2,0,0,42,FALSE,TRUE
11/14/2014,2721,0.06,0,0,38.5,FALSE,TRUE
11/15/2014,8265,0,0,0,37.5,FALSE,FALSE
11/16/2014,6453,0.03,0,0,40,FALSE,FALSE
11/17/2014,8359,1.54,0,0,46,FALSE,TRUE
11/18/2014,1462,0,0,0,34.5,FALSE,TRUE
11/19/2014,8706,0,0,0,29,FALSE,TRUE
11/20/2014,4847,0,0,0,38,FALSE,TRUE
11/21/2014,4563,0,0,0,32.5,FALSE,TRUE
11/22/2014,4772,0,0,0,36,FALSE,FALSE
11/23/2014,7832,0,0,0,50,FALSE,FALSE
11/24/2014,2903,0.7,0,0,61,FALSE,TRUE
11/25/2014,5290,0,0,0,59.5,FALSE,TRUE
11/26/2014,7139,1.24,0,0.2,42.5,FALSE,TRUE
11/27/2014,5210,0.02,0,0,36,TRUE,TRUE
11/28/2014,2660,0,0,0,33,TRUE,TRUE
11/29/2014,2882,0,0,0,36,FALSE,FALSE
11/30/2014,9880,0,0,0,50,FALSE,FALSE
12/1/2014,7242,0.09,0,0,53.5,FALSE,TRUE
12/2/2014,9213,0.08,0,0,39,FALSE,TRUE
12/3/2014,2912,0.06,0,0,43.5,FALSE,TRUE
12/4/2014,8363,0,0,0,41,FALSE,TRUE
12/5/2014,7126,0.51,0,0,39,FALSE,TRUE
12/6/2014,3492,1.22,0,0,44.5,FALSE,FALSE
12/7/2014,4503,0.04,0,0,36,FALSE,FALSE
12/8/2014,8818,0,0,0,30.5,FALSE,TRUE
12/9/2014,9653,2.54,0,0,39,FALSE,TRUE
12/10/2014,1556,0.08,0,1,36,FALSE,TRUE
12/11/2014,7700,0.01,1.2,0,34.5,FALSE,TRUE
12/12/2014,8248,0,0,0,35,FALSE,TRUE
12/13/2014,4498,0,0,0,39,FALSE,FALSE
12/14/2014,6833,0,0,0,42,FALSE,FALSE
12/15/2014,980,0,0,0,42.5,FALSE,TRUE
12/16/2014,9968,0.2,0,0,43.5,FALSE,TRUE
12/17/2014,2157,0.02,0,0,48,FALSE,TRUE
12/18/2014,8114,0,0,0,39.5,FALSE,TRUE
12/19/2014,4882,0,0,0,34.5,FALSE,TRUE
12/20/2014,4786,0,0,0,31.5,FALSE,FALSE
12/21/2014,7926,0,0,0,33.5,FALSE,FALSE
12/22/2014,8281,0.04,0,0,39.5,FALSE,TRUE
12/23/2014,9844,0.16,0,0,44.5,FALSE,TRUE
12/24/2014,712,0.8,0,0,51,TRUE,TRUE
12/25/2014,668,0.09,0,0,53,TRUE,TRUE
12/26/2014,9328,0,0,0,45,FALSE,TRUE
12/27/2014,6730,0,0,0,49.5,FALSE,FALSE
12/28/2014,3124,0.1,0,0,48.5,FALSE,FALSE
12/29/2014,980,0,0,0,39,FALSE,TRUE
12/30/2014,5752,0,0,0,31,FALSE,TRUE
12/31/2014,7125,0,0,0,29.5,FALSE,TRUE
9/1/2015,1515,0,0,0,83,FALSE,TRUE
9/2/2015,6073,0,0,0,82.5,FALSE,TRUE
9/3/2015,2988,0,0,0,83.5,FALSE,TRUE
9/4/2015,2813,0,0,0,78.5,FALSE,TRUE
9/5/2015,8052,0,0,0,75,FALSE,FALSE
9/6/2015,3279,0,0,0,76,FALSE,FALSE
9/7/2015,9697,0,0,0,81,TRUE,TRUE
9/8/2015,1358,0,0,0,86.5,FALSE,TRUE
9/9/2015,1115,0,0,0,83,FALSE,TRUE
9/10/2015,8841,1.58,0,0,74.5,FALSE,TRUE
9/11/2015,6511,0,0,0,73.5,FALSE,TRUE
9/12/2015,4926,0.29,0,0,74,FALSE,FALSE
9/13/2015,6890,0.04,0,0,71,FALSE,FALSE
9/14/2015,9568,0,0,0,68,FALSE,TRUE
9/15/2015,8923,0,0,0,73,FALSE,TRUE
9/16/2015,3226,0,0,0,77,FALSE,TRUE
9/17/2015,1180,0,0,0,78.5,FALSE,TRUE
9/18/2015,8521,0,0,0,77.5,FALSE,TRUE
9/19/2015,779,0,0,0,75.5,FALSE,FALSE
9/20/2015,6818,0,0,0,71.5,FALSE,FALSE
9/21/2015,584,0,0,0,66,FALSE,TRUE
9/22/2015,3860,0,0,0,66.5,FALSE,TRUE
9/23/2015,465,0,0,0,69.5,FALSE,TRUE
9/24/2015,9862,0,0,0,71,FALSE,TRUE
9/25/2015,9675,0,0,0,69.5,FALSE,TRUE
9/26/2015,2437,0,0,0,66.5,FALSE,FALSE
9/27/2015,5096,0,0,0,63.5,FALSE,FALSE
9/28/2015,8916,0,0,0,71.5,FALSE,TRUE
9/29/2015,1317,0.11,0,0,77.5,FALSE,TRUE
9/30/2015,7984,1.26,0,0,69,FALSE,TRUE
10/1/2015,9260,0.09,0,0,60,FALSE,TRUE
10/2/2015,8231,1.08,0,0,52.5,FALSE,TRUE
10/3/2015,3906,0.35,0,0,52,FALSE,FALSE
10/4/2015,3863,0,0,0,58,FALSE,FALSE
10/5/2015,7234,0,0,0,59.5,FALSE,TRUE
10/6/2015,603,0,0,0,62.5,FALSE,TRUE
10/7/2015,5397,0,0,0,65.5,FALSE,TRUE
10/8/2015,5932,0,0,0,65.5,FALSE,TRUE
10/9/2015,9621,0.89,0,0,69.5,FALSE,TRUE
10/10/2015,2514,0,0,0,57.5,FALSE,FALSE
10/11/2015,6302,0,0,0,61,FALSE,FALSE
10/12/2015,4308,0,0,0,66.5,FALSE,TRUE
10/13/2015,9031,0.01,0,0,66.5,FALSE,TRUE
10/14/2015,3396,0,0,0,63,FALSE,TRUE
10/15/2015,4985,0,0,0,57.5,FALSE,TRUE
10/16/2015,9158,0,0,0,58.5,FALSE,TRUE
10/17/2015,7604,0,0,0,49,FALSE,FALSE
10/18/2015,882,0,0,0,44,FALSE,FALSE
10/19/2015,6745,0,0,0,44,FALSE,TRUE
10/20/2015,7234,0,0,0,59,FALSE,TRUE
10/21/2015,6909,0,0,0,66.5,FALSE,TRUE
10/22/2015,8129,0,0,0,66.5,FALSE,TRUE
10/23/2015,8423,0,0,0,55,FALSE,TRUE
10/24/2015,6211,0,0,0,48.5,FALSE,FALSE
10/25/2015,4005,0.05,0,0,58,FALSE,FALSE
10/26/2015,9121,0,0,0,52,FALSE,TRUE
10/27/2015,9243,0,0,0,52,FALSE,TRUE
10/28/2015,7581,1.4,0,0,61,FALSE,TRUE
10/29/2015,5335,0.04,0,0,65,FALSE,TRUE
10/30/2015,2249,0,0,0,54.5,FALSE,TRUE
10/31/2015,4345,0,0,0,49,FALSE,FALSE
11/1/2015,8987,0,0,0,59.5,FALSE,FALSE
11/2/2015,5759,0,0,0,58.5,FALSE,TRUE
11/3/2015,7996,0,0,0,60,FALSE,TRUE
11/4/2015,3926,0,0,0,63,FALSE,TRUE
11/5/2015,9657,0.01,0,0,63.5,FALSE,TRUE
11/6/2015,2876,0,0,0,70,FALSE,TRUE
11/7/2015,3722,0,0,0,62.5,FALSE,FALSE
11/8/2015,6954,0,0,0,51,FALSE,FALSE
11/9/2015,5205,0,0,0,51,FALSE,TRUE
11/10/2015,3839,0.26,0,0,54,FALSE,TRUE
11/11/2015,3853,0.43,0,0,53.5,FALSE,TRUE
11/12/2015,1141,0.01,0,0,56,FALSE,TRUE
11/13/2015,1675,0,0,0,52,FALSE,TRUE
11/14/2015,6025,0,0,0,45.5,FALSE,FALSE
11/15/2015,2068,0,0,0,48.5,FALSE,FALSE
11/16/2015,1419,0,0,0,59,FALSE,TRUE
